term	gene_set_size	background_size	overlap_count	foreground_annotated	overlap_genes	fold_enrichment	pvalue	p_adjust	neglog10p	neglog10padj
Regulation Of Glycolytic Process (GO:0006110)	40	14350	1	15	IFNG	23.916666666666668	0.04102540578174759	0.08888837919378645	1.3869471146526315	1.0511550127294385
Positive Regulation Of Establishment Of Protein Localization To Mitochondrion (GO:1903749)	33	14350	1	15	GZMB	28.98989898989899	0.033961291148962215	0.08914838926602581	1.4690158069966859	1.0498864992547101
Positive Regulation Of Myeloid Leukocyte Differentiation (GO:0002763)	40	14350	1	15	IFNG	23.916666666666668	0.04102540578174759	0.08959948622733674	1.3869471146526315	1.047694480619932
Defense Response To Tumor Cell (GO:0002357)	12	14350	1	15	PRF1	79.72222222222221	0.012476445351059143	0.08963341002208279	1.9039091313455228	1.0475300809215768
Regulation Of Humoral Immune Response (GO:0002920)	13	14350	1	15	CXCL13	73.58974358974359	0.01350956386966244	0.08995392527848405	1.8693586711153722	1.045979880794352
Regulation Of Chemokine Production (GO:0032642)	41	14350	1	15	IFNG	23.333333333333332	0.042030620241095856	0.0903492860300722	1.3764342011128627	1.0440752750280635
Regulation Of Osteoclast Differentiation (GO:0045670)	42	14350	1	15	IFNG	22.77777777777778	0.04303485119339047	0.0917852685609031	1.3661796944062585	1.037227017013371
Positive Regulation Of T Cell Chemotaxis (GO:0010820)	12	14350	1	15	CXCL13	79.72222222222221	0.012476445351059143	0.09205593461727422	1.9039091313455228	1.0359482083717617
Regulation Of Nitrogen Compound Metabolic Process (GO:0051171)	13	14350	1	15	IFNG	73.58974358974359	0.01350956386966244	0.09220277341044615	1.8693586711153722	1.0352560154025787
Regulation Of Interleukin-2 Production (GO:0032663)	47	14350	1	15	HAVCR2	20.354609929078013	0.0480412845987472	0.09301610422310627	1.318385388307258	1.031441853921882
Lymphocyte Chemotaxis (GO:0048247)	44	14350	1	15	CXCL13	21.742424242424242	0.045040366150458824	0.09315166635663075	1.3463980875954877	1.0308093717605817
Epithelial To Mesenchymal Transition (GO:0001837)	47	14350	1	15	EOMES	20.354609929078013	0.0480412845987472	0.09368050496755703	1.318385388307258	1.02835077694474
Positive Regulation Of Cell-Cell Adhesion (GO:0022409)	46	14350	1	15	CXCL13	20.797101449275363	0.047041957792741264	0.09374054363079098	1.3275146120830454	1.0280725321986963
Natural Killer Cell Activation (GO:0030101)	45	14350	1	15	TOX	21.25925925925926	0.04604165194017942	0.09380127596767898	1.3368491026001563	1.0277912539242078
Regulation Of B Cell Proliferation (GO:0030888)	44	14350	1	15	CTLA4	21.742424242424242	0.045040366150458824	0.09386274777920045	1.3463980875954877	1.027506736210496
Interferon-Mediated Signaling Pathway (GO:0140888)	49	14350	1	15	IFNG	19.523809523809522	0.05003700462976724	0.09420760182018247	1.300708696414663	1.0259140516088818
Cellular Defense Response (GO:0006968)	48	14350	1	15	PRF1	19.930555555555554	0.04903963324805287	0.09428042166703123	1.309452786428925	1.0255784837712252
Negative Regulation Of Tumor Necrosis Factor Production (GO:0032720)	47	14350	1	15	HAVCR2	20.354609929078013	0.0480412845987472	0.09435446543494953	1.318385388307258	1.0252375415205972
Regulation Of Interleukin-10 Production (GO:0032653)	46	14350	1	15	TIGIT	20.797101449275363	0.047041957792741264	0.09442981233395856	1.3275146120830454	1.024890873412507
Establishment Of Protein Localization To Extracellular Region (GO:0035592)	45	14350	1	15	PRF1	21.25925925925926	0.04604165194017942	0.09450654871931566	1.3368491026001563	1.024538096526486
Positive Regulation Of Nucleocytoplasmic Transport (GO:0046824)	44	14350	1	15	IFNG	21.742424242424242	0.045040366150458824	0.09458476891596354	1.3463980875954877	1.0241787928615684
Regulation Of T Cell Differentiation In Thymus (GO:0033081)	12	14350	1	15	TOX	79.72222222222221	0.012476445351059143	0.0946130439121985	1.9039091313455228	1.024048985072054
Regulation Of T Cell Apoptotic Process (GO:0070232)	11	14350	1	15	PDCD1	86.96969696969697	0.011442317082437658	0.09465916859107516	1.9414860215026233	1.0238373143397548
Regulation Of Smooth Muscle Cell Apoptotic Process (GO:0034391)	10	14350	1	15	IFNG	95.66666666666667	0.010407178147445448	0.09470532114175358	1.982667011231462	1.0236256189103683
Regulation Of Epithelial Cell Migration (GO:0010632)	50	14350	1	15	IFNG	19.133333333333333	0.05103339963225335	0.09477631360275622	1.2921454998168995	1.0233001875243195
Positive Regulation Of Nervous System Development (GO:0051962)	49	14350	1	15	IFNG	19.523809523809522	0.05003700462976724	0.09486182127726707	1.300708696414663	1.0229085414691566
Regulation Of T Cell Differentiation (GO:0045580)	47	14350	1	15	TCF7	20.354609929078013	0.0480412845987472	0.09503819344534772	1.318385388307258	1.0221018276677385
B Cell Receptor Signaling Pathway (GO:0050853)	46	14350	1	15	CTLA4	20.797101449275363	0.047041957792741264	0.09512929242532121	1.3275146120830454	1.0216857335372955
Negative Regulation Of Immune System Process (GO:0002683)	44	14350	1	15	PDCD1	21.742424242424242	0.045040366150458824	0.09531798417887798	1.3463980875954877	1.0208251508539807
Positive Regulation Of Protein Localization To Cell Periphery (GO:1904377)	51	14350	1	15	IFNG	18.758169934640524	0.0520288191431286	0.09532797064479268	1.2837560308297538	1.0207796522012718
Positive Regulation Of Cell Death (GO:0010942)	50	14350	1	15	IFNG	19.133333333333333	0.05103339963225335	0.0954254664356518	1.2921454998168995	1.0203357085605806
Negative Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903556)	49	14350	1	15	HAVCR2	19.523809523809522	0.05003700462976724	0.09552519065682838	1.300708696414663	1.0198820868389686
Negative Regulation Of Response To Stimulus (GO:0048585)	52	14350	1	15	PDCD1	18.397435897435898	0.05302326404926556	0.09586325222151985	1.2755335411266489	1.018347841379062
Positive Regulation Of Protein Localization To Plasma Membrane (GO:1903078)	51	14350	1	15	IFNG	18.758169934640524	0.0520288191431286	0.0959720785545548	1.2837560308297538	1.0178550991839552
Regulation Of Peptide Hormone Secretion (GO:0090276)	52	14350	1	15	IFNG	18.397435897435898	0.05302326404926556	0.09650234056966332	1.2755335411266489	1.015462153141574
Positive Regulation Of Chemokine Production (GO:0032722)	53	14350	1	15	IFNG	18.050314465408803	0.054016735236792596	0.09701689947134459	1.2674716680473594	1.0131526089513758
Astrocyte Activation (GO:0048143)	12	14350	1	15	IFNG	79.72222222222221	0.012476445351059143	0.09731627373826132	1.9039091313455228	1.0118145286550424
Macrophage Activation Involved In Immune Response (GO:0002281)	11	14350	1	15	IFNG	86.96969696969697	0.011442317082437658	0.09761726760954627	1.9414860215026233	1.0104733527817733
Positive Regulation Of Integrin Activation (GO:0033625)	10	14350	1	15	CXCL13	95.66666666666667	0.010407178147445448	0.09797102187077955	1.982667011231462	1.008902362089662
Regulation Of Smooth Muscle Cell Proliferation (GO:0048660)	54	14350	1	15	IFNG	17.71604938271605	0.055009233591094074	0.0981537305252855	1.259564405758785	1.0080931895356278
Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531)	55	14350	1	15	IFNG	17.393939393939394	0.05600075999681132	0.09927407453980189	1.2518060790619827	1.0031641528576898
Mesoderm Morphogenesis (GO:0048332)	12	14350	1	15	EOMES	79.72222222222221	0.012476445351059143	0.1001785170835043	1.9039091313455228	0.9992254013470219
Positive Regulation Of Cellular Metabolic Process (GO:0031325)	56	14350	1	15	IFNG	17.083333333333332	0.056991315337843004	0.10037825217568477	1.244191319559334	0.9983603706888693
Nucleoside Phosphate Catabolic Process (GO:1901292)	11	14350	1	15	ENTPD1	86.96969696969697	0.011442317082437658	0.10076621172598324	1.9414860215026233	0.9966850682961399
Positive Regulation Of Interleukin-1 Beta Production (GO:0032731)	57	14350	1	15	IFNG	16.78362573099415	0.057980900497345736	0.10082029194761392	1.2367150439311545	0.9964520492996322
Regulation Of Neuron Death (GO:1901214)	58	14350	1	15	IFNG	16.49425287356322	0.05896951635773472	0.10124954695384641	1.229372434101596	0.9946069113812913
